Date,Area,Region,Trigger,Depth,Width
4/16/2019,Red Baldy,Salt Lake,Natural,12,100
4/16/2019,Main Days,Salt Lake,Skier,8,800
4/16/2019,West Monitor,Salt Lake,Skier,12,30
4/15/2019,Coalpit 4,Salt Lake,Natural,,30
4/15/2019,Greaseball,Salt Lake,Skier,12,30
4/14/2019,Y Coulior,Salt Lake,Natural,6,10
4/14/2019,Jupiter,Salt Lake,Skier,20,125
4/13/2019,Big Willow,Salt Lake,Skier,4,400
4/13/2019,Blue Ice,Salt Lake,Natural,,100
4/13/2019,Mill B South,Salt Lake,Natural,10,50
4/12/2019,Y Coulior,Salt Lake,Skier,15,
4/12/2019,Superior,Salt Lake,Snowboarder,6,60
4/12/2019,Key hole,Salt Lake,Skier,18,60
4/11/2019,Scotties Bowl,Salt Lake,Skier,2,70
4/11/2019,Butler Basin,Salt Lake,Snowboarder,12,30
4/10/2019,Catchers Mit,Salt Lake,Natural,10,30
4/10/2019,Scotties Bowl,Salt Lake,Skier,4,80
4/10/2019,West Porter,Salt Lake,Skier,8,30
4/10/2019,Kessler Slabs,Salt Lake,Skier,8,40
4/10/2019,Chicken Sh#! Ridge,Salt Lake,Skier,6,50
4/9/2019,Memorials,Salt Lake,Natural,,
4/9/2019,Broads Fork,Salt Lake,Natural,5,90
4/8/2019,High Pockets,Salt Lake,Natural,,
4/7/2019,Diving Board,Salt Lake,Natural,,200
4/6/2019,Emma Ridges,Salt Lake,Skier,6,10
4/5/2019,Blue Ice,Salt Lake,Natural,10,300
4/5/2019,Tuscarora,Salt Lake,Natural,,
4/4/2019,Kessler Slabs,Salt Lake,Natural,,
4/3/2019,Sliver peak,Salt Lake,Skier,4,10
4/3/2019,Claytons,Salt Lake,Skier,8,350
4/3/2019,West Porter,Salt Lake,Natural,,
4/3/2019,Santiago Ridge,Salt Lake,Natural,,300
3/31/2019,West Couloir,Salt Lake,Skier,8,30
3/31/2019,Bonkers,Salt Lake,Natural,2.5,150
3/30/2019,Hypodermic Needle,Salt Lake,Natural,3,100
3/30/2019,Argenta,Salt Lake,Skier,10,150
3/30/2019,Silver Fork,Salt Lake,Skier,10,25
3/30/2019,Holy Toledo,Salt Lake,Skier,6,30
3/30/2019,Superior,Salt Lake,Natural,,
3/29/2019,Brighton Hill,Salt Lake,Skier,12,45
3/29/2019,Argenta,Salt Lake,Skier,5,30

3/29/2019,Summit Park,Salt Lake,Skier,8,50
3/29/2019,South Monitor Bowl,Salt Lake,Natural,18,200
3/29/2019,South Monitor Bowl,Salt Lake,Natural,2,60
3/29/2019,Days Draw,Salt Lake,Skier,14,50
3/26/2019,Hogum,Salt Lake,Skier,20,80
3/26/2019,Cardiac Ridge,Salt Lake,Skier,8,30
3/26/2019,Blue Ice,Salt Lake,Natural,,100
3/24/2019,Birthday Chutes,Salt Lake,Skier,6,50
3/24/2019,Patsy Marly,Salt Lake,Skier,10,50
3/24/2019,Catchers Mit,Salt Lake,Snowboarder,,20
3/24/2019,Upper Meadow Chutes,Salt Lake,Skier,8,40
3/24/2019,,Salt Lake,Skier,12,"1,000"
3/24/2019,Gobblers Knob,Salt Lake,Skier,4,40
3/24/2019,Banana Days,Salt Lake,Skier,6,
3/24/2019,White Pine,Salt Lake,Natural,10,
3/24/2019,Birthday Chutes,Salt Lake,Skier,12,150
3/24/2019,Wolverine Cirque,Salt Lake,Skier,6,30
3/24/2019,Grizzly Gulch,Salt Lake,Skier,12,20
3/24/2019,Mill B South,Salt Lake,Skier,12,25
3/24/2019,East Bowl,Salt Lake,Skier,8,20
3/24/2019,White Baldy,Salt Lake,Skier,3,
3/24/2019,East Bowl,Salt Lake,Skier,6,
3/23/2019,Davenport Hill,Salt Lake,Skier,12,
3/23/2019,Bonkers,Salt Lake,Natural,,
3/23/2019,East Bowl,Salt Lake,Natural,,60
3/21/2019,Flanigans,Salt Lake,Skier,6,80
3/20/2019,Stairs Gulch,Salt Lake,Skier,,50
3/19/2019,Mill B South,Salt Lake,Natural,,700
3/18/2019,Diving Board,Salt Lake,Natural,,
3/16/2019,Red Top,Salt Lake,Natural,,
3/16/2019,Salt Lake foothills,Salt Lake,Skier,6,15
3/16/2019,Toledo Chutes,Salt Lake,Skier,1,50
3/16/2019,Reynolds Pk,Salt Lake,Skier,4,80
3/15/2019,Maybird Chute,Salt Lake,Natural,,50
3/15/2019,Red Top,Salt Lake,Natural,2,300
3/15/2019,Chipman Peak,Salt Lake,Natural,14,300
3/14/2019,Georges Bowl,Salt Lake,Skier,2,100
3/14/2019,Greaseball,Salt Lake,Skier,2.5,50
3/14/2019,Salt Lake,Salt Lake,Skier,20,150
3/14/2019,Emma Ridges,Salt Lake,Skier,12,20
3/13/2019,Mt Olympus,Salt Lake,Skier,18,35
3/11/2019,Wolverine Cirque,Salt Lake,Snowboarder,8,30
3/11/2019,Banana Days,Salt Lake,Unknown,2,100
3/11/2019,Mineral Fork,Salt Lake,Natural,,20
3/11/2019,Room of Doom,Salt Lake,Skier,8,30
3/10/2019,Tri Chutes,Salt Lake,Skier,14,50
3/9/2019,South Monitor Bowl,Salt Lake,Skier,12,40
3/9/2019,West Willow,Salt Lake,Skier,2,300
3/8/2019,Brighton Perimeter,Salt Lake,Snowboarder,6,200
3/8/2019,Brighton Perimeter,Salt Lake,Skier,14,80

3/8/2019,Cardiff Pass,Salt Lake,Skier,21,
3/7/2019,Lake Peak,Salt Lake,Skier,12,"2,500"
3/7/2019,South Monitor Bowl,Salt Lake,Natural,10,300
3/7/2019,White Pine,Salt Lake,Natural,20,300
3/7/2019,Rocky Point,Salt Lake,Skier,8,30
3/7/2019,Jaws,Salt Lake,Skier,8,
3/7/2019,Dougs Drop,Salt Lake,Skier,7,125
3/7/2019,Silver/Days,Salt Lake,Skier,10,80
3/7/2019,Back Bowls,Salt Lake,Skier,2,300
3/7/2019,Benson and Hedges,Salt Lake,Skier,16,30
3/6/2019,Patsy Marly,Salt Lake,,16,45
3/6/2019,Y Coulior,Salt Lake,Natural,,
3/5/2019,Caribou Basin,Salt Lake,Snowmobiler,2.5,
3/4/2019,Superior,Salt Lake,Natural,4,60
3/4/2019,Catchers Mit,Salt Lake,Skier,6,20
3/4/2019,Summit Park,Salt Lake,Skier,10,80
3/4/2019,Silver Fork,Salt Lake,Unknown,4,
3/3/2019,Patsy Marly,Salt Lake,Skier,6,40
3/3/2019,Patsy Marly,Salt Lake,Snowshoer,8,
3/3/2019,Monte Cristo,Salt Lake,Natural,8,10
3/3/2019,Lake Peak,Salt Lake,Skier,6,
3/3/2019,Maybird Chute,Salt Lake,Natural,4,50
3/3/2019,Superior,Salt Lake,Skier,6,30
3/3/2019,Mt Olympus,Salt Lake,Natural,,
3/3/2019,Dougs Drop,Salt Lake,Skier,5,40
3/2/2019,Wolverine Cirque,Salt Lake,Skier,4,50
2/26/2019,Cardiff Fork,Salt Lake,Skier,5,40
2/26/2019,Martha Bowl,Salt Lake,Snowboarder,6,60
2/26/2019,Mill A,Salt Lake,Unknown,6,30
2/25/2019,Millie Back Bowls,Salt Lake,Skier,14,100
2/24/2019,Little Superior,Salt Lake,Snowboarder,,15
2/20/2019,Dutch Draw,Salt Lake,Skier,6,50
2/20/2019,Limber Pine,Salt Lake,Skier,6,200
2/19/2019,Silver Fork Headwall,Salt Lake,,,
2/17/2019,Pioneer Peak,Salt Lake,Snowboarder,12,500
2/16/2019,,Salt Lake,Skier,3,200
2/16/2019,Claytons,Salt Lake,Skier,2,300
2/16/2019,Silver Fork Headwall,Salt Lake,Skier,5,150
2/15/2019,West Monitor,Salt Lake,Skier,18,250
2/14/2019,Summit Park,Salt Lake,Natural,,
2/14/2019,Highline,Salt Lake,Natural,2.5,200
2/14/2019,west porter,Salt Lake,Natural,6,60
2/14/2019,Butler Fork,Salt Lake,Natural,8,70
2/14/2019,Cardiff Peak,Salt Lake,Natural,14,
2/14/2019,Butler Basin,Salt Lake,Skier,10,200
