Date,Area,Depth,Width,Dangerous
3/4/2019,Superior,0.3333333333333333,60,FALSE
3/4/2019,Catchers Mit,0.5,20,FALSE
3/3/2019,Maybird Chute,0.3333333333333333,50,FALSE
3/3/2019,Superior,0.5,30,FALSE
3/3/2019,Dougs Drop,0.4166666666666667,40,FALSE
3/3/2019,Patsy Marly,0.5,40,FALSE
3/3/2019,Monte Cristo,0.6666666666666666,10,FALSE
3/2/2019,Wolverine Cirque,0.3333333333333333,50,FALSE
2/26/2019,Cardiff Fork,0.4166666666666667,40,FALSE
2/26/2019,Martha Bowl,0.5,60,FALSE
2/26/2019,Mill A,0.5,30,FALSE
2/25/2019,Millie Back Bowls,1.1666666666666667,100,TRUE
2/20/2019,Dutch Draw,0.5,50,FALSE
2/20/2019,Limber Pine,0.5,200,FALSE
2/17/2019,Pioneer Peak,1,500,TRUE
2/16/2019,Claytons,2,300,TRUE
2/16/2019,Silver Fork Headwall,5,150,TRUE
2/15/2019,West Monitor,1.5,250,TRUE
2/14/2019,Big Cottonwood Canyon,0.8333333333333334,100,FALSE
2/14/2019,Highline,2.5,200,TRUE
2/14/2019,west porter,0.5,60,FALSE
2/14/2019,Butler Fork,0.6666666666666666,70,FALSE
2/14/2019,Reynolds Peak,0.5,300,FALSE
2/14/2019,Butler Basin,0.8333333333333334,200,FALSE
2/14/2019,Kessler Peak,0.5,50,FALSE
2/10/2019,Murdock Peak,2,250,TRUE
2/8/2019,Little Superior,0.6666666666666666,50,FALSE
2/8/2019,White Pine,1,50,FALSE
2/8/2019,Pioneer Ridge,2,100,TRUE
2/8/2019,Preston Peak,0.25,100,FALSE
2/7/2019,Squaretop,1.5,250,TRUE
2/7/2019,Pioneer Ridge,1,100,TRUE
2/6/2019,Ivory Flakes,4,300,TRUE
2/5/2019,10420,10,200,TRUE
2/5/2019,Days Headwall,4,60,TRUE
2/5/2019,Scotts Peak,4.5,1000,TRUE
2/5/2019,South Monitor Bowl,8,1500,TRUE
2/5/2019,Patsy Marly,0.8333333333333334,10,FALSE
2/4/2019,Cone,2,60,TRUE
2/4/2019,Little Water Peak,3,200,TRUE
2/3/2019,Pioneer Peak,2,300,TRUE
2/2/2019,Mineral Fork,0.5,40,FALSE
1/25/2019,Summit Park,1.1666666666666667,70,TRUE
1/23/2019,Wilson Chutes,1.3333333333333333,20,FALSE
1/23/2019,Depth Hoar Bowl,1,40,FALSE
1/22/2019,Bonneville Shoreline Trail,0.5,20,FALSE
1/21/2019,Thomas Fork,1.5,80,TRUE
1/21/2019,Murdock Peak,1.1666666666666667,50,FALSE
1/21/2019,Emma Ridges,1.3333333333333333,250,TRUE
1/19/2019,Bountiful,2,50,FALSE
1/19/2019,Grandview Peak,1.5,300,TRUE
1/19/2019,Two Dogs,2,60,TRUE
1/19/2019,White Pine,4,100,TRUE
1/17/2019,West Monitor,2,80,TRUE
1/17/2019,Depth Hoar Bowl,1.1666666666666667,35,FALSE
1/16/2019,Raymond Glade,0.4166666666666667,50,FALSE
1/16/2019,Raymond Glade,0.4166666666666667,50,FALSE
1/16/2019,Flagstaff Ridge,0.5,60,FALSE
1/16/2019,Sunset Peak,1,250,TRUE
1/7/2019,Scotts Bluff,2,80,TRUE
1/7/2019,Bear Trap,1,70,TRUE
1/5/2019,Lake Peak,0.4166666666666667,30,FALSE
1/5/2019,Ivory Slabs,1,200,TRUE
1/5/2019,Red Pine Gulch,0.5,80,FALSE
1/5/2019,Blue Ice,1.25,125,TRUE
1/5/2019,Maybird Gulch,2,30,FALSE
1/5/2019,Tuscarora,1,50,FALSE
1/5/2019,Santiago,1.5,60,TRUE
1/5/2019,Red Pine Gulch,1.25,25,FALSE
1/4/2019,Little Cottonwood Canyon,0.6666666666666666,20,FALSE
1/4/2019,Toledo Shoulder,0.4166666666666667,20,FALSE
12/31/2018,Snake Creek,1.25,30,FALSE
12/31/2018,Airplane Peak,2.5,80,TRUE
12/30/2018,Salt Lake,0.4166666666666667,20,FALSE
12/29/2018,Wolverine Cirque,0.5,5,FALSE
12/29/2018,Wolverine Cirque,0.6666666666666666,30,FALSE
12/29/2018,Guardsman Pass area,0.5,30,FALSE
12/28/2018,Cardiac Ridge,3,80,TRUE
12/26/2018,Red Baldy,1.25,45,FALSE
12/26/2018,East Mineral,0.8333333333333334,20,FALSE
12/25/2018,South Monitor Bowl,1.25,60,TRUE
12/24/2018,Cardiff Fork,0.8333333333333334,50,FALSE
12/23/2018,Pioneer Bowl,1.5,30,FALSE
12/22/2018,Little Superior,0.6666666666666666,45,FALSE
12/22/2018,Snake Creek,1,30,FALSE
12/22/2018,Days Draw,2,70,TRUE
12/22/2018,Tuscarora,1.1666666666666667,50,FALSE
12/22/2018,Room of Doom,0.8333333333333334,20,FALSE
12/22/2018,Reynolds East Face,2,80,TRUE
12/15/2018,Monitors,1.1666666666666667,25,FALSE
12/13/2018,Bonkers,4,150,TRUE
12/12/2018,West Monitor,0.6666666666666666,45,FALSE
12/3/2018,Snake Creek,0.8333333333333334,25,FALSE
12/3/2018,West Monitor,3,500,TRUE
12/2/2018,Blue Ice,2.5,400,TRUE
12/2/2018,Davis Gulch,1.5,200,TRUE
12/2/2018,Cardiff Fork,2,50,FALSE
12/2/2018,Porter Fork,2,100,TRUE
12/1/2018,West Bowl,2,100,TRUE
11/30/2018,Cardiac Ridge,3,200,TRUE
11/30/2018,Cardiff Fork,2,40,FALSE
11/30/2018,Silver Fork Headwall,2,60,TRUE
11/30/2018,Red Baldy,1.6666666666666667,600,TRUE
11/30/2018,South Monitor Bowl,1,200,TRUE
11/30/2018,Highline,1.6666666666666667,150,TRUE
11/26/2018,Wolverine,1.5,20,FALSE
11/25/2018,Mother in Law,1.8333333333333333,125,TRUE
11/25/2018,Flagstaff Gully,0.6666666666666666,5,FALSE
11/25/2018,Days Headwall,1.6666666666666667,150,TRUE
11/25/2018,Scotts Bluff,1.6666666666666667,125,TRUE
11/25/2018,Big Cottonwood Canyon,2.5,100,TRUE
11/25/2018,White Pine,1.5,500,TRUE
11/24/2018,Rocky Point,1.3333333333333333,250,TRUE
11/24/2018,Hide A Way Park,1.6666666666666667,500,TRUE
11/24/2018,Brighton Perimeter,1.8333333333333333,150,TRUE
11/24/2018,10420,1.5,30,FALSE
11/24/2018,Jaws,1.6666666666666667,200,TRUE
11/24/2018,10420,1,20,FALSE
11/23/2018,Scotts Bluff,1,70,TRUE
11/23/2018,Alta Periphery,0.8333333333333334,25,FALSE
11/23/2018,Monitors,0.5,125,FALSE
11/23/2018,Monitors,2,70,TRUE
11/23/2018,Monitors,1.6666666666666667,30,FALSE
11/22/2018,Rocky Point,0.5833333333333334,50,FALSE
11/5/2018,Baldy,0.5,15,FALSE
4/18/2018,Little Superior,1,40,FALSE
4/17/2018,Cardiff Peak,0.8333333333333334,40,FALSE
4/17/2018,Upper Days,0.6666666666666666,175,FALSE
4/9/2018,Cardiff Bowl,1.0833333333333333,100,TRUE
4/9/2018,Toledo Bowl,0.3333333333333333,30,FALSE
4/9/2018,Emma Ridges,0.25,125,FALSE
4/9/2018,Raymond Peak,0.5,100,FALSE
4/8/2018,Toledo Chutes,0.25,30,FALSE
4/8/2018,Catherine's Pass,0.5,15,FALSE
4/8/2018,Chicken Sh#! Ridge,0.25,30,FALSE
4/2/2018,Silver Fork Headwall,2.5,80,TRUE
3/28/2018,Scotties Notch,0.5,25,FALSE
3/23/2018,Diving Board,10,500,TRUE
3/23/2018,Two Dogs,4,500,TRUE
3/17/2018,Emma Ridges,0.6666666666666666,20,FALSE
3/17/2018,Squaretop,1,40,FALSE
3/17/2018,Upper Days,3.5,80,TRUE
3/17/2018,Millicent Peak,4,150,TRUE
3/16/2018,Salt Lake,1.6666666666666667,200,TRUE
3/16/2018,Salt Lake,2,100,TRUE
3/16/2018,Claytons,2.5,40,FALSE
3/11/2018,Guardsman Pass area,5,350,TRUE
3/8/2018,Hogum,5,300,TRUE
3/5/2018,Back Bowls,0.8333333333333334,20,FALSE
3/4/2018,Grandeur,1,40,FALSE
3/4/2018,Butler Basin,3,300,TRUE
3/3/2018,Porter Fork,3,60,TRUE
3/3/2018,Porter Fork,1.5,50,FALSE
3/2/2018,Snake Creek,1,100,TRUE
2/28/2018,Wolverine Cirque,2,80,TRUE
